id_cs;uid;chargePointParkingSpaceNumbers;roaming;chargePointPosition;vehicle_type;chargePointPublicComment;parkingsensor_status;id;physical_reference;floor_level;chargingStationPosition
368700;844742;;False;;four_wheeled;;-;DE*TUE*E00045*002;;;
368702;844746;;False;;four_wheeled;;-;DE*TUE*E00046*002;;;
385108;880158;;False;;four_wheeled;;-;DE*LVP*E20386*001;;;
385108;880160;;False;;four_wheeled;;-;DE*LVP*E20386*002;;;
385110;880162;;False;;four_wheeled;;-;DE*LVP*E20387*001;;;
385110;880164;;False;;four_wheeled;;-;DE*LVP*E20387*002;;;
385112;880166;;False;;four_wheeled;;-;DE*LVP*E20388*001;;;
385112;880168;;False;;four_wheeled;;-;DE*LVP*E20388*002;;;
385114;880170;;False;;four_wheeled;;-;DE*LVP*E30004*001;;;
385114;880172;;False;;four_wheeled;;-;DE*LVP*E30004*002;;;
385114;880174;;False;;four_wheeled;;-;DE*LVP*E30004*003;;;
385116;880176;;False;;four_wheeled;;-;DE*LVP*E20389*001;;;
385116;880178;;False;;four_wheeled;;-;DE*LVP*E20389*002;;;
385118;880180;;False;;four_wheeled;;-;DE*LVP*E20390*001;;;
385118;880182;;False;;four_wheeled;;-;DE*LVP*E20390*002;;;
385120;880184;;False;;four_wheeled;;-;DE*LVP*E20391*001;;;
385120;880186;;False;;four_wheeled;;-;DE*LVP*E20391*002;;;
406644;927936;;False;;four_wheeled;;-;DE*BOH*EBEW2*001;;;
406644;927938;;False;;four_wheeled;;-;DE*BOH*EBEW2*002;;;
406646;927942;;False;;four_wheeled;;-;DE*BOH*EBEW3*001;;;
406646;927946;;False;;four_wheeled;;-;DE*BOH*EBEW3*002;;;
406650;927994;;False;;four_wheeled;;-;DE*BOH*EBEW5*001;;;
406650;927996;;False;;four_wheeled;;-;DE*BOH*EBEW5*002;;;
406652;927998;;False;;four_wheeled;;-;DE*BOH*EBEW4*001;;;
406652;928000;;False;;four_wheeled;;-;DE*BOH*EBEW4*002;;;
406654;928002;;False;;four_wheeled;;-;DE*BOH*EBEW1*001;;;
406654;928004;;False;;four_wheeled;;-;DE*BOH*EBEW1*002;;;
548859;1317415;;False;;four_wheeled;;-;DE*BOH*EBEW6*001;;;
548859;1317416;;False;;four_wheeled;;-;DE*BOH*EBEW6*002;;;
743544;2056813;;False;;four_wheeled;;-;DE*BOH*EBEW7*001;;;
743544;2056816;;False;;four_wheeled;;-;DE*BOH*EBEW7*002;;;
743545;2056817;;False;;four_wheeled;;-;DE*BOH*EBEW8*001;;;
743545;2056818;;False;;four_wheeled;;-;DE*BOH*EBEW8*002;;;
743547;2056819;;False;;four_wheeled;;-;DE*BOH*EBEW9*001;;;
743547;2056820;;False;;four_wheeled;;-;DE*BOH*EBEW9*002;;;
747332;2065670;;False;;four_wheeled;;-;DE*BOH*EBEW10*001;;;
747332;2065672;;False;;four_wheeled;;-;DE*BOH*EBEW10*002;;;
753460;2094680;;False;;four_wheeled;;-;DE*BOH*EBEW27*001;;;
753460;2094681;;False;;four_wheeled;;-;DE*BOH*Ebew27*002;;;
753461;2094682;;False;;four_wheeled;;-;DE*BOH*EBEW28*001;;;
753461;2094683;;False;;four_wheeled;;-;DE*BOH*EBEW28*002;;;
178;343;;False;rechts;four_wheeled;;-;DE*EVD*E00001*001;;;
178;344;;False;links;four_wheeled;;-;DE*EVD*E00001*002;;;
194;439;;False;rechts;four_wheeled;;-;DE*EVD*E00002*001;;;
194;440;;False;links;four_wheeled;;-;DE*EVD*E00002*002;;;
195;441;;False;rechts;four_wheeled;;-;DE*EVD*E00003*001;;;
195;442;;False;links;four_wheeled;;-;DE*EVD*E00003*002;;;
181252;446960;;False;Parkplatz Bernskötter;four_wheeled;;-;DE*EVD*E00005*001;;;
181252;446962;;False;Parkplatz Bernskötter;four_wheeled;;-;DE*EVD*E00005*002;;;
181252;446964;;False;Parkplatz Bernskötter;four_wheeled;;-;DE*EVD*E00005*003;;;
185568;442718;;False;;four_wheeled;;-;DE*EVD*E00006*001;;;Öffentlicher Parkplatz
185568;442720;;False;;four_wheeled;;-;DE*EVD*E00006*002;;;Öffentlicher Parkplatz
272810;607006;;False;Öffentlicher Parkplatz;four_wheeled;;-;DE*EVD*E00004*001;;;Öffentlicher Parkplatz
543335;1500841;;False;öffentlicher Parkplatz;four_wheeled;;-;DE*EVD*E00007*001;;;öffentlicher Parkplatz
543335;1500842;;False;öffentlicher Parkplatz;four_wheeled;;-;DE*EVD*E00007*002;;;öffentlicher Parkplatz
543335;1500843;;False;öffentlicher Parkplatz;four_wheeled;;-;DE*EVD*E00007*003;;;öffentlicher Parkplatz
543338;1290839;;False;Parkplatz Mux & Harf;four_wheeled;;-;DE*EVD*E00016*001;;;
543338;1290840;;False;Parkplatz Mux & Harf;four_wheeled;;-;DE*EVD*E00016*002;;;
544165;1289841;;False;Parkplatz Schwab-Tolles;four_wheeled;;-;DE*EVD*E00010*001;;;
544165;1289843;;False;Parkplatz Schwab-Tolles;four_wheeled;;-;DE*EVD*E00010*002;;;
544165;1289844;;False;Parkplatz Schwab-Tolles;four_wheeled;;-;DE*EVD*E00010*003;;;
586169;1500836;;False;Parkplatz Theodor Angerhausen Schule;four_wheeled;;-;DE*EVD*E00008*001;;;
586169;1500837;;False;Parkplatz Theodor Angerhausen Schule;four_wheeled;;-;DE*EVD*E00008*002;;;
586169;1500838;;False;Parkplatz Theodor Angerhausen Schule;four_wheeled;;-;DE*EVD*E00008*003;;;
586221;1500846;;False;Parkplatz Bahnhof Nievenheim;four_wheeled;;-;DE*EVD*E00009*001;;;Parkplatz Bahnhof Nievenheim
586221;1500847;;False;Parkplatz Bahnhof Nievenheim;four_wheeled;;-;DE*EVD*E00009*002;;;Parkplatz Bahnhof Nievenheim
586221;1500848;;False;Parkplatz Bahnhof Nievenheim;four_wheeled;;-;DE*EVD*E00009*003;;;Parkplatz Bahnhof Nievenheim
20248;44924;;False;;four_wheeled;;-;DE*SRA*E13579*123;;;
20248;44926;;False;;four_wheeled;;-;DE*SRA*E13579*234;;;
20250;44928;;False;;four_wheeled;;-;DE*SRA*E24681*345;;;
20250;44930;;False;;four_wheeled;;-;DE*SRA*E24681*456;;;
20252;44932;;False;;four_wheeled;;-;DE*SRA*E35791*567;;;
20252;44934;;False;;four_wheeled;;-;DE*SRA*E35791*678;;;
20262;282378;;False;;four_wheeled;;-;DE*SRA*E46824*789;;;
20262;282380;;False;;four_wheeled;;-;DE*SRA*E46824*891;;;
158810;442258;;False;;four_wheeled;;-;DE*SRA*E00002*001;;;
158810;442260;;False;;four_wheeled;;-;DE*SRA*E00002*002;;;
244394;627986;;False;;four_wheeled;;-;DE*SRA*E00003*001;;;Öffentlicher Parkplatz am Straßenrand
244394;627988;;False;;four_wheeled;;-;DE*SRA*E00003*002;;;Öffentlicher Parkplatz am Straßenrand
489200;1118868;;False;;four_wheeled;;-;DE*SRA*E00004*001;;;
666280;1720799;;False;;four_wheeled;;-;DE*SRA*E00001*001;;;
666280;1720814;;False;;four_wheeled;;-;DE*SRA*E00001*002;;;
708804;1888952;;False;;four_wheeled;;-;DE*SRA*E00006*001;;;
708804;1888953;;False;;four_wheeled;;-;DE*SRA*E00006*002;;;
709035;1893866;;False;;four_wheeled;;-;DE*SRA*E00005*001;;;
709035;1893867;;False;;four_wheeled;;-;DE*SRA*E00005*002;;;
709035;1893868;;False;;four_wheeled;;-;DE*SRA*E00004*002;;;
713957;1922664;;False;;four_wheeled;;-;DE*SRA*E00011*001;;;
713957;1922665;;False;;four_wheeled;;-;DE*SRA*E00011*002;;;
384432;880408;;False;;four_wheeled;;-;DE*LVP*E20479*001;;;
384432;880410;;False;;four_wheeled;;-;DE*LVP*E20479*002;;;
384436;880412;;False;;four_wheeled;;-;DE*LVP*E20480*001;;;
384436;880414;;False;;four_wheeled;;-;DE*LVP*E20480*002;;;
384438;880416;;False;;four_wheeled;;-;DE*LVP*E20481*001;;;
384438;880418;;False;;four_wheeled;;-;DE*LVP*E20481*002;;;
384440;880420;;False;;four_wheeled;;-;DE*LVP*E20482*001;;;
384440;880422;;False;;four_wheeled;;-;DE*LVP*E20482*002;;;
384442;880424;;False;;four_wheeled;;-;DE*LVP*E20483*001;;;
384442;880426;;False;;four_wheeled;;-;DE*LVP*E20483*002;;;
384444;880428;;False;;four_wheeled;;-;DE*LVP*E20484*001;;;
384444;880430;;False;;four_wheeled;;-;DE*LVP*E20484*002;;;
324864;748572;1;False;Parkplatz links;four_wheeled;;-;DE*674*E000005*001;;;
324864;748574;2;False;Parkplatz rechts;four_wheeled;;-;DE*674*E000005*002;;;
327644;762858;1;False;Parkplatz;four_wheeled;;-;DE*674*E000006*001;;;
361810;829658;1;False;Parkplatz links;four_wheeled;;-;DE*674*E000002*001;;;Parkplatz
361810;829660;2;False;Parkplatz rechts;four_wheeled;;-;DE*674*E000002*002;;;Parkplatz
361812;829646;1;False;Parkplatz links;four_wheeled;;-;DE*674*E000003*001;;;
361812;829648;2;False;Parkplatz rechts;four_wheeled;;-;DE*674*E000003*002;;;
361814;829650;1;False;Parkplatz links;four_wheeled;;-;DE*674*E000004*001;;;
361814;829652;2;False;Parkplatz rechts;four_wheeled;;-;DE*674*E000004*002;;;
361816;829654;1;False;Parkplatz links;four_wheeled;;-;DE*674*E000001*001;;;
361816;829656;2;False;Parkplatz rechts;four_wheeled;;-;DE*674*E000001*002;;;
365138;834212;1;False;Parkplatz;four_wheeled;;-;DE*674*E000008*001;;;Parkplatz
365140;834214;1;False;Parkplatz;four_wheeled;;-;DE*674*E000007*001;;;
365142;834216;1;False;Parkplatz;four_wheeled;;-;DE*674*E000009*001;;;
365146;834222;1;False;Parkplatz;four_wheeled;;-;DE*674*E000010*001;;;Links der Einfahrt Parkplatz Sonnenbergschule
695695;1830750;1;False;Parkplatz;four_wheeled;;-;DE*674*E000011*001;;;Parkfläche neben Trafostation
223;504;;False;;four_wheeled;;-;DE*EWB*E00001*001;;;
224;676;;False;;four_wheeled;;-;DE*EWB*E00045*001;;;
224;677;;False;;four_wheeled;;-;DE*EWB*E00045*002;;;
225;516;;False;;four_wheeled;;-;DE*EWB*E00007*001;;;
225;517;;False;;four_wheeled;;-;DE*EWB*E00007*002;;;
226;514;;False;;four_wheeled;;-;DE*EWB*E00006*001;;;
226;515;;False;;four_wheeled;;-;DE*EWB*E00006*002;;;
228;510;;False;;four_wheeled;;-;DE*EWB*E00004*001;;;
229;778;;False;;four_wheeled;;-;DE*EWB*E00009*002;;;
230;524;;False;;four_wheeled;;-;DE*EWB*E00011*001;;;
230;525;;False;;four_wheeled;;-;DE*EWB*E00011*002;;;
232;526;;False;;four_wheeled;;-;DE*EWB*E00012*001;;;
232;527;;False;;four_wheeled;;-;DE*EWB*E00012*002;;;
233;528;;False;;four_wheeled;;-;DE*EWB*E00013*001;;;
233;529;;False;;four_wheeled;;-;DE*EWB*E00013*002;;;
234;506;;False;;four_wheeled;;-;DE*EWB*E00002*001;;;
234;507;;False;;four_wheeled;;-;DE*EWB*E00002*002;;;
235;512;;False;;four_wheeled;;-;DE*EWB*E00005*001;;;
235;513;;False;;four_wheeled;;-;DE*EWB*E00005*002;;;
240;539;;False;;four_wheeled;;-;DE*EWB*E00014*001;;;
240;540;;False;;four_wheeled;;-;DE*EWB*E00014*002;;;
241;541;;False;;four_wheeled;;-;DE*EWB*E00015*001;;;
